50.1494 	DATA 	Keypress: right
50.2971 	EXP 	grating: autoDraw = True
50.3137 	EXP 	fixation: autoDraw = False
50.4988 	DATA 	Keypress: right
50.5128 	EXP 	fixation: autoDraw = False
50.5128 	EXP 	grating: autoDraw = False
50.5128 	EXP 	grating: ori = -19.5
50.5128 	EXP 	fixation: autoDraw = True
50.8820 	DATA 	Keypress: right
51.0130 	EXP 	fixation: autoDraw = False
51.0130 	EXP 	grating: autoDraw = True
51.3134 	EXP 	grating: autoDraw = False
51.4821 	DATA 	Keypress: right
51.4965 	EXP 	fixation: autoDraw = False
51.4965 	EXP 	grating: autoDraw = False
51.5830 	EXP 	window1: mouseVisible = True
